grid_id,lat,lon,land_cover,priority,LST,NDVI,recommended_action,cost_estimate,cooling_c,cooling_per_rupee
+102092+29065,26.109982890370212,91.7112531441988,cropland,Medium,27.603180079956527,0.5875973401632152,Tree cover,334425.0,0.8,2.39216565747178e-06
+102092+29066,26.11088120648628,91.71125314412674,cropland,Medium,27.63479107122208,0.4919055441288675,Tree cover,334425.0,0.8,2.39216565747178e-06
+102092+29067,26.111779521034137,91.71125314402325,cropland,Medium,26.76818217497906,0.325618734997453,Tree cover,334425.0,0.8,2.39216565747178e-06
+102092+29068,26.11267783633084,91.71125314388853,cropland,Medium,27.28175483298045,0.4567384130293417,Tree cover,334425.0,0.8,2.39216565747178e-06
+102092+29069,26.11357615187859,91.71125314394855,cropland,Medium,27.858171328715112,0.4251753719618041,Tree cover,334425.0,0.8,2.39216565747178e-06
+102092+29071,26.115372782083952,91.71125314420092,built_up,Medium,28.57106841272665,0.3803671346117781,Cool roof,535080.0,1.0,1.868879419899828e-06
+102092+29072,26.11627109774598,91.7112531439414,built_up,High,28.750506673327536,0.3037738433764504,Cool roof,535080.0,1.0,1.868879419899828e-06
+102092+29073,26.117169413150982,91.71125314387646,built_up,High,28.822677735988144,0.3098577161925595,Cool roof,535080.0,1.0,1.868879419899828e-06
+102092+29074,26.11806772836445,91.71125314423192,built_up,High,29.532843843520688,0.3216420387917183,Cool roof,535080.0,1.0,1.868879419899828e-06
+102092+29075,26.118966043321368,91.71125314433034,built_up,High,29.71146855567041,0.3689828320181809,Cool roof,535080.0,1.0,1.868879419899828e-06
+102092+29077,26.120762673720936,91.71125314398132,built_up,Medium,28.616377626359704,0.4333242222411613,Cool roof,535080.0,1.0,1.868879419899828e-06
+102092+29110,26.150407078115293,91.71125314409169,built_up,Medium,26.68939015510516,0.3225690977141935,Cool roof,535080.0,1.0,1.868879419899828e-06
+102092+29119,26.15849191612289,91.71125314386394,built_up,Medium,26.920510520522143,0.3630485582472749,Cool roof,535080.0,1.0,1.868879419899828e-06
+102092+29120,26.15939023088164,91.7112531439075,built_up,Medium,27.500920212479063,0.4332449384032748,Cool roof,535080.0,1.0,1.868879419899828e-06
+102092+29121,26.16028854730528,91.71125314414569,built_up,Medium,27.10581667293997,0.3744527578953719,Cool roof,535080.0,1.0,1.868879419899828e-06
+102092+29122,26.161186861633123,91.71125314412672,built_up,Medium,26.850884164238582,0.3717023033768393,Cool roof,535080.0,1.0,1.868879419899828e-06
