grid_id,lat,lon,priority,vegetation_class,LST,exclusion_reason
+102205+29160,26.195322842567304,91.81276277107776,Low,vegetated,24.86296585626571,Low priority - no action needed (ML tiering)
+102205+29161,26.19622115785143,91.81276277107776,Low,vegetated,24.929290331130467,Low priority - no action needed (ML tiering)
+102205+29162,26.197119473135547,91.81276277107776,Low,vegetated,24.93613686914228,Low priority - no action needed (ML tiering)
+102205+29163,26.198017788419666,91.81276277107776,Low,vegetated,24.838004656861937,Low priority - no action needed (ML tiering)
+102205+29164,26.198916103703784,91.81276277107776,Low,vegetated,24.475120923630453,Low priority - no action needed (ML tiering)
+102205+29165,26.19981441898791,91.81276277107776,Low,vegetated,23.697774994403787,Low priority - no action needed (ML tiering)
+102205+29166,26.200712734272027,91.81276277107776,Low,vegetated,23.243976229937257,Low priority - no action needed (ML tiering)
+102205+29167,26.20161104955614,91.81276277107776,Low,vegetated,22.872513514706544,Low priority - no action needed (ML tiering)
+102205+29168,26.20250936484027,91.81276277107776,Low,vegetated,22.6429165786925,Low priority - no action needed (ML tiering)
+102205+29169,26.203407680124386,91.81276277107776,Low,vegetated,22.76091096716529,Low priority - no action needed (ML tiering)
+102205+29170,26.2043059954085,91.81276277107776,Low,vegetated,22.7281380836848,Low priority - no action needed (ML tiering)
+102205+29171,26.205204310692626,91.81276277107776,Low,vegetated,22.995929040732243,Low priority - no action needed (ML tiering)
+102205+29172,26.206102625976747,91.81276277107776,Low,vegetated,23.295953254435183,Low priority - no action needed (ML tiering)
+102206+29150,26.18633968972611,91.81366108636188,Low,vegetated,25.42690926520754,Low priority - no action needed (ML tiering)
+102206+29151,26.18723800501024,91.81366108636188,Low,vegetated,24.77227629827865,Low priority - no action needed (ML tiering)
+102206+29152,26.188136320294355,91.81366108636188,Low,vegetated,24.841820217440187,Low priority - no action needed (ML tiering)
+102206+29153,26.18903463557848,91.81366108636188,Low,vegetated,25.050717229905747,Low priority - no action needed (ML tiering)
+102206+29154,26.1899329508626,91.81366108636188,Low,vegetated,24.308235329176,Low priority - no action needed (ML tiering)
+102206+29155,26.19083126614671,91.81366108636188,Low,sparse,24.48111252668603,Low priority - no action needed (ML tiering)
+102206+29157,26.19262789671495,91.81366108636188,Low,sparse,24.74648540400141,Low priority - no action needed (ML tiering)
+102206+29158,26.19352621199907,91.81366108636188,Low,sparse,24.50916619228791,Low priority - no action needed (ML tiering)
+102206+29159,26.19442452728319,91.81366108636188,Low,vegetated,24.741801141257007,Low priority - no action needed (ML tiering)
+102206+29160,26.195322842567304,91.81366108636188,Low,vegetated,24.80545698998605,Low priority - no action needed (ML tiering)
+102206+29161,26.19622115785143,91.81366108636188,Low,vegetated,24.71725210203773,Low priority - no action needed (ML tiering)
+102206+29162,26.197119473135547,91.81366108636188,Low,vegetated,24.61717648012222,Low priority - no action needed (ML tiering)
