system:index,Heat_Risk,LST,LandCover,Latitude,Longitude,NDBI,NDVI,Vegetation,count,grid_id,.geo
+102202+29145,0.15035150954195178,28.481055032866134,50.0,26.181848113572872,91.81006782542626,0.06479221564699938,0.2554381356627716,0.0,1,+102202+29145,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.181398955663454],[91.81051698286745,26.181398955663454],[91.81051698286745,26.182297270947576],[91.80961866758334,26.182297270947576],[91.80961866758334,26.181398955663454]]]}"
+102202+29146,0.13208136242919385,27.92937441245654,50.0,26.18274642861739,91.81006782558595,0.07427114278475959,0.23430252417484437,0.0,1,+102202+29146,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.182297270947576],[91.81051698286745,26.182297270947576],[91.81051698286745,26.183195586231694],[91.80961866758334,26.183195586231694],[91.80961866758334,26.182297270947576]]]}"
+102202+29147,0.05987563797635359,26.974995333368227,50.0,26.183644743974355,91.81006782573844,0.07095041431809732,0.23833831440709102,0.0,1,+102202+29147,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.183195586231694],[91.81051698286745,26.183195586231694],[91.81051698286745,26.184093901515812],[91.80961866758334,26.184093901515812],[91.80961866758334,26.183195586231694]]]}"
+102202+29148,0.07654940307702776,26.896699078159017,50.0,26.184543059458356,91.81006782543189,0.07230443338288157,0.21607195964861625,0.0,1,+102202+29148,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.184093901515812],[91.81051698286745,26.184093901515812],[91.81051698286745,26.184992216799934],[91.80961866758334,26.184992216799934],[91.80961866758334,26.184093901515812]]]}"
+102202+29149,0.06596900634544182,27.400416002847834,50.0,26.185441374395932,91.81006782557026,0.07493564763211258,0.2626321367151176,0.0,1,+102202+29149,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.184992216799934],[91.81051698286745,26.184992216799934],[91.81051698286745,26.185890532084052],[91.80961866758334,26.185890532084052],[91.80961866758334,26.184992216799934]]]}"
+102202+29150,0.12523542489169484,27.389261621746876,50.0,26.186339689735746,91.81006782570145,0.09065816225544454,0.20256897666165305,0.0,1,+102202+29150,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.185890532084052],[91.81051698286745,26.185890532084052],[91.81051698286745,26.186788847368174],[91.80961866758334,26.186788847368174],[91.80961866758334,26.185890532084052]]]}"
+102202+29151,0.11581620769916379,27.374510982437272,50.0,26.187238005158722,91.81006782559884,0.10505496837295716,0.21093457676064098,0.0,1,+102202+29151,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.186788847368174],[91.81051698286745,26.186788847368174],[91.81051698286745,26.187687162652292],[91.80961866758334,26.187687162652292],[91.80961866758334,26.186788847368174]]]}"
+102202+29152,0.1252222286068863,28.04955496784784,50.0,26.188136320802602,91.81006782571524,0.10493807407018949,0.2497459833822448,0.0,1,+102202+29152,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.187687162652292],[91.81051698286745,26.187687162652292],[91.81051698286745,26.18858547793641],[91.80961866758334,26.18858547793641],[91.80961866758334,26.187687162652292]]]}"
+102202+29153,-0.16886820153209625,27.474491642772,10.0,26.189034635449712,91.81006782559871,-0.07319976204405819,0.5027604617300957,0.7204988430918858,1,+102202+29153,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.18858547793641],[91.81051698286745,26.18858547793641],[91.81051698286745,26.189483793220532],[91.80961866758334,26.189483793220532],[91.80961866758334,26.18858547793641]]]}"
+102202+29154,-0.3339204880161276,25.609388487437254,10.0,26.189932950948645,91.81006782547456,-0.10885373892210994,0.5345910942616457,0.5337856386524962,1,+102202+29154,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.189483793220532],[91.81051698286745,26.189483793220532],[91.81051698286745,26.19038210850465],[91.80961866758334,26.19038210850465],[91.80961866758334,26.189483793220532]]]}"
