system:index,Heat_Risk,LST,NDVI,count,grid_id,.geo
+102146+29133,0.28486584060758624,28.28344390721371,0.1068087241933927,1,+102146+29133,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.17061917225402],[91.76021132695676,26.17061917225402],[91.76021132695676,26.17151748753814],[91.75931301167265,26.17151748753814],[91.75931301167265,26.17061917225402]]]}"
+102146+29134,0.2854927406567398,28.340845928197993,0.11028196850025936,1,+102146+29134,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.17151748753814],[91.76021132695676,26.17151748753814],[91.76021132695676,26.17241580282226],[91.75931301167265,26.17241580282226],[91.75931301167265,26.17151748753814]]]}"
+102146+29135,0.31480176684581346,28.395943786857575,0.08490850364401313,1,+102146+29135,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.17241580282226],[91.76021132695676,26.17241580282226],[91.76021132695676,26.17331411810638],[91.75931301167265,26.17331411810638],[91.75931301167265,26.17241580282226]]]}"
+102146+29136,0.28430933390855,28.302877928750018,0.10875337528788015,1,+102146+29136,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.17331411810638],[91.76021132695676,26.17331411810638],[91.76021132695676,26.174212433390498],[91.75931301167265,26.174212433390498],[91.75931301167265,26.17331411810638]]]}"
+102146+29137,0.2039729243103356,28.223555667200905,0.1834239090611576,1,+102146+29137,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.174212433390498],[91.76021132695676,26.174212433390498],[91.76021132695676,26.17511074867462],[91.75931301167265,26.17511074867462],[91.75931301167265,26.174212433390498]]]}"
+102146+29138,0.2515993468102208,28.01482918636525,0.12088845221586848,1,+102146+29138,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.17511074867462],[91.76021132695676,26.17511074867462],[91.76021132695676,26.176009063958737],[91.75931301167265,26.176009063958737],[91.75931301167265,26.17511074867462]]]}"
+102146+29139,0.15318830013128704,27.10742483702864,0.15448490251361613,1,+102146+29139,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.176009063958737],[91.76021132695676,26.176009063958737],[91.76021132695676,26.17690737924286],[91.75931301167265,26.17690737924286],[91.75931301167265,26.176009063958737]]]}"
+102146+29140,0.07566053656168015,26.27952395045687,0.1728768884709532,1,+102146+29140,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.17690737924286],[91.76021132695676,26.17690737924286],[91.76021132695676,26.177805694526977],[91.75931301167265,26.177805694526977],[91.75931301167265,26.17690737924286]]]}"
+102146+29141,-2.770361298561475E-4,25.94178155800281,0.22469000455862767,1,+102146+29141,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.177805694526977],[91.76021132695676,26.177805694526977],[91.76021132695676,26.178704009811096],[91.75931301167265,26.178704009811096],[91.75931301167265,26.177805694526977]]]}"
+102146+29142,0.12487618913700745,27.190520077786314,0.18873238784772983,1,+102146+29142,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.178704009811096],[91.76021132695676,26.178704009811096],[91.76021132695676,26.179602325095217],[91.75931301167265,26.179602325095217],[91.75931301167265,26.178704009811096]]]}"
+102146+29143,0.23468063976488526,27.837479897987684,0.12513935294852058,1,+102146+29143,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.179602325095217],[91.76021132695676,26.179602325095217],[91.76021132695676,26.180500640379336],[91.75931301167265,26.180500640379336],[91.75931301167265,26.179602325095217]]]}"
+102146+29144,0.2573069266217523,27.739904733763975,0.09554341150424589,1,+102146+29144,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.180500640379336],[91.76021132695676,26.180500640379336],[91.76021132695676,26.181398955663454],[91.75931301167265,26.181398955663454],[91.75931301167265,26.180500640379336]]]}"
+102146+29145,0.2633028861752927,27.768623739797498,0.09159880952452897,1,+102146+29145,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.181398955663454],[91.76021132695676,26.181398955663454],[91.76021132695676,26.182297270947576],[91.75931301167265,26.182297270947576],[91.75931301167265,26.181398955663454]]]}"
+102146+29146,0.28128222106849193,28.100713912153754,0.09734020122820487,1,+102146+29146,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.182297270947576],[91.76021132695676,26.182297270947576],[91.76021132695676,26.183195586231694],[91.75931301167265,26.183195586231694],[91.75931301167265,26.182297270947576]]]}"
+102146+29147,0.297203427240086,28.052472757189264,0.0779731982734326,1,+102146+29147,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.183195586231694],[91.76021132695676,26.183195586231694],[91.76021132695676,26.184093901515812],[91.75931301167265,26.184093901515812],[91.75931301167265,26.183195586231694]]]}"
+102146+29148,0.2544140432704036,27.91314368808661,0.11081050587863987,1,+102146+29148,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.184093901515812],[91.76021132695676,26.184093901515812],[91.76021132695676,26.184992216799934],[91.75931301167265,26.184992216799934],[91.75931301167265,26.184093901515812]]]}"
+102146+29149,0.25013914231113327,27.803279869010172,0.10723799118959301,1,+102146+29149,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.184992216799934],[91.76021132695676,26.184992216799934],[91.76021132695676,26.185890532084052],[91.75931301167265,26.185890532084052],[91.75931301167265,26.184992216799934]]]}"
+102146+29150,0.21153582362851073,27.575888108194857,0.12959904124255003,1,+102146+29150,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.185890532084052],[91.76021132695676,26.185890532084052],[91.76021132695676,26.186788847368174],[91.75931301167265,26.186788847368174],[91.75931301167265,26.185890532084052]]]}"
+102146+29151,0.20506743244261713,27.20029377708453,0.109239265920563,1,+102146+29151,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.186788847368174],[91.76021132695676,26.186788847368174],[91.76021132695676,26.187687162652292],[91.75931301167265,26.187687162652292],[91.75931301167265,26.186788847368174]]]}"
+102146+29152,0.1392818367906084,26.85344705958306,0.15025009603675318,1,+102146+29152,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.187687162652292],[91.76021132695676,26.187687162652292],[91.76021132695676,26.18858547793641],[91.75931301167265,26.18858547793641],[91.75931301167265,26.187687162652292]]]}"
+102146+29153,0.07162071085865895,26.371794491054494,0.18350746707380458,1,+102146+29153,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.18858547793641],[91.76021132695676,26.18858547793641],[91.76021132695676,26.189483793220532],[91.75931301167265,26.189483793220532],[91.75931301167265,26.18858547793641]]]}"
+102146+29154,0.10555908976097399,26.246027108498605,0.1405857037032126,1,+102146+29154,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.189483793220532],[91.76021132695676,26.189483793220532],[91.76021132695676,26.19038210850465],[91.75931301167265,26.19038210850465],[91.75931301167265,26.189483793220532]]]}"
+102146+29155,0.17836398854482394,26.554627466635257,0.08982368764340835,1,+102146+29155,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.19038210850465],[91.76021132695676,26.19038210850465],[91.76021132695676,26.19128042378877],[91.75931301167265,26.19128042378877],[91.75931301167265,26.19038210850465]]]}"
+102146+29156,0.15396109429681323,26.3116909246334,0.09687397174842945,1,+102146+29156,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.19128042378877],[91.76021132695676,26.19128042378877],[91.76021132695676,26.19217873907289],[91.75931301167265,26.19217873907289],[91.75931301167265,26.19128042378877]]]}"
+102146+29157,0.16283346631886708,26.608461346543304,0.10919948700565504,1,+102146+29157,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.19217873907289],[91.76021132695676,26.19217873907289],[91.76021132695676,26.19307705435701],[91.75931301167265,26.19307705435701],[91.75931301167265,26.19217873907289]]]}"
+102146+29158,0.10460374243085847,26.79210301934737,0.18054647323681056,1,+102146+29158,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.19307705435701],[91.76021132695676,26.19307705435701],[91.76021132695676,26.19397536964113],[91.75931301167265,26.19397536964113],[91.75931301167265,26.19307705435701]]]}"
+102146+29159,0.03923559123882768,25.932867734196947,0.18454067548952519,1,+102146+29159,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.19397536964113],[91.76021132695676,26.19397536964113],[91.76021132695676,26.19487368492525],[91.75931301167265,26.19487368492525],[91.75931301167265,26.19397536964113]]]}"
+102146+29160,0.02406003888116511,25.519614914228367,0.17019816927800396,1,+102146+29160,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.19487368492525],[91.76021132695676,26.19487368492525],[91.76021132695676,26.195772000209367],[91.75931301167265,26.195772000209367],[91.75931301167265,26.19487368492525]]]}"
